prompt_id,L1,speaker,alpha,wer,method,utterance_id,expected_wer_mean,delta_wer
arctic_a0031,Chinese,BWC,1.0,0.1666666666666666,dtw_aligned,arctic_a0031,0.0,0.1666666666666666
arctic_a0031,Spanish,EBVS,1.0,0.1666666666666666,dtw_aligned,arctic_a0031,0.0,0.1666666666666666
arctic_a0031,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0031,0.0,0.0
arctic_a0031,Vietnamese,HQTV,1.0,0.1666666666666666,dtw_aligned,arctic_a0031,0.0,0.1666666666666666
arctic_a0031,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0031,0.0,0.0
arctic_a0031,Arabic,ZHAA,1.0,0.0,dtw_aligned,arctic_a0031,0.0,0.0
arctic_a0037,Chinese,BWC,1.0,0.125,dtw_aligned,arctic_a0037,0.0,0.125
arctic_a0037,Spanish,EBVS,1.0,0.0,dtw_aligned,arctic_a0037,0.0,0.0
arctic_a0037,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0037,0.0,0.0
arctic_a0037,Vietnamese,HQTV,1.0,0.0,dtw_aligned,arctic_a0037,0.0,0.0
arctic_a0037,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0037,0.0,0.0
arctic_a0037,Arabic,ZHAA,1.0,0.0,dtw_aligned,arctic_a0037,0.0,0.0
arctic_a0045,Chinese,BWC,1.0,0.0,dtw_aligned,arctic_a0045,0.0,0.0
arctic_a0045,Spanish,EBVS,1.0,0.2222222222222222,dtw_aligned,arctic_a0045,0.0,0.2222222222222222
arctic_a0045,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0045,0.0,0.0
arctic_a0045,Vietnamese,HQTV,1.0,0.1111111111111111,dtw_aligned,arctic_a0045,0.0,0.1111111111111111
arctic_a0045,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0045,0.0,0.0
arctic_a0045,Arabic,ZHAA,1.0,0.1111111111111111,dtw_aligned,arctic_a0045,0.0,0.1111111111111111
arctic_a0055,Chinese,BWC,1.0,0.0909090909090909,dtw_aligned,arctic_a0055,0.0909090909090909,0.0
arctic_a0055,Spanish,EBVS,1.0,0.0909090909090909,dtw_aligned,arctic_a0055,0.0909090909090909,0.0
arctic_a0055,Korean,HJK,1.0,0.0909090909090909,dtw_aligned,arctic_a0055,0.0909090909090909,0.0
arctic_a0055,Vietnamese,HQTV,1.0,0.0,dtw_aligned,arctic_a0055,0.0909090909090909,-0.0909090909090909
arctic_a0055,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0055,0.0909090909090909,-0.0909090909090909
arctic_a0055,Arabic,ZHAA,1.0,0.2727272727272727,dtw_aligned,arctic_a0055,0.0909090909090909,0.18181818181818182
arctic_a0063,Chinese,BWC,1.0,0.3333333333333333,dtw_aligned,arctic_a0063,0.0,0.3333333333333333
arctic_a0063,Spanish,EBVS,1.0,0.2222222222222222,dtw_aligned,arctic_a0063,0.0,0.2222222222222222
arctic_a0063,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0063,0.0,0.0
arctic_a0063,Vietnamese,HQTV,1.0,0.2222222222222222,dtw_aligned,arctic_a0063,0.0,0.2222222222222222
arctic_a0063,Hindi,SVBI,1.0,0.2222222222222222,dtw_aligned,arctic_a0063,0.0,0.2222222222222222
arctic_a0063,Arabic,ZHAA,1.0,0.2222222222222222,dtw_aligned,arctic_a0063,0.0,0.2222222222222222
arctic_a0064,Chinese,BWC,1.0,0.0,dtw_aligned,arctic_a0064,0.0,0.0
arctic_a0064,Spanish,EBVS,1.0,0.0,dtw_aligned,arctic_a0064,0.0,0.0
arctic_a0064,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0064,0.0,0.0
arctic_a0064,Vietnamese,HQTV,1.0,0.0,dtw_aligned,arctic_a0064,0.0,0.0
arctic_a0064,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0064,0.0,0.0
arctic_a0064,Arabic,ZHAA,1.0,0.0,dtw_aligned,arctic_a0064,0.0,0.0
arctic_a0095,Chinese,BWC,1.0,0.0769230769230769,dtw_aligned,arctic_a0095,0.0,0.0769230769230769
arctic_a0095,Spanish,EBVS,1.0,0.2307692307692307,dtw_aligned,arctic_a0095,0.0,0.2307692307692307
arctic_a0095,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0095,0.0,0.0
arctic_a0095,Vietnamese,HQTV,1.0,0.0,dtw_aligned,arctic_a0095,0.0,0.0
arctic_a0095,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0095,0.0,0.0
arctic_a0095,Arabic,ZHAA,1.0,0.0,dtw_aligned,arctic_a0095,0.0,0.0
arctic_a0099,Chinese,BWC,1.0,0.0,dtw_aligned,arctic_a0099,0.0,0.0
arctic_a0099,Spanish,EBVS,1.0,0.0,dtw_aligned,arctic_a0099,0.0,0.0
arctic_a0099,Korean,HJK,1.0,0.0,dtw_aligned,arctic_a0099,0.0,0.0
arctic_a0099,Vietnamese,HQTV,1.0,0.0,dtw_aligned,arctic_a0099,0.0,0.0
arctic_a0099,Hindi,SVBI,1.0,0.0,dtw_aligned,arctic_a0099,0.0,0.0
