utterance_id,expected_wer_mean,expected_wer_std
arctic_a0016,0.1111111111111111,
arctic_a0023,0.0,
arctic_a0043,0.0,
arctic_a0073,0.0,
arctic_a0078,0.2222222222222222,
arctic_a0086,0.0,
arctic_a0090,0.0,
arctic_a0155,0.0,
arctic_a0160,0.0,
arctic_a0174,0.0,
arctic_a0192,0.0,
arctic_a0204,0.125,
arctic_a0211,0.0833333333333333,
arctic_a0215,0.0,
arctic_a0220,0.0,
arctic_a0234,0.0,
arctic_a0271,0.0,
arctic_a0279,0.0,
arctic_a0299,0.25,
arctic_a0301,0.0,
arctic_a0316,0.0,
arctic_a0327,0.0,
arctic_a0341,0.0,
arctic_a0342,0.2,
arctic_a0350,0.0,
arctic_a0361,0.0,
arctic_a0364,0.0909090909090909,
arctic_a0373,0.0,
arctic_a0376,0.2,
arctic_a0377,0.1666666666666666,
arctic_a0389,0.0,
arctic_a0404,0.2,
arctic_a0438,0.0,
arctic_a0439,0.3333333333333333,
arctic_a0447,0.0,
arctic_a0452,0.0,
arctic_a0466,0.0,
arctic_a0470,0.0,
arctic_a0472,0.0,
arctic_a0534,0.0,
arctic_a0539,0.1666666666666666,
arctic_a0542,0.0,
arctic_a0545,0.0,
arctic_a0554,0.0,
arctic_a0557,0.0,
arctic_a0578,0.0,
arctic_a0593,0.0,
arctic_b0010,0.1,
arctic_b0025,0.0,
arctic_b0026,0.0,
arctic_b0042,0.1818181818181818,
arctic_b0047,0.0,
arctic_b0056,0.1,
arctic_b0057,0.0,
arctic_b0082,0.0,
arctic_b0109,0.0833333333333333,
arctic_b0159,0.1428571428571428,
arctic_b0172,0.0909090909090909,
arctic_b0175,0.2,
arctic_b0194,0.0,
arctic_b0200,0.0,
arctic_b0217,0.0,
arctic_b0262,0.0,
arctic_b0265,0.0,
arctic_b0267,0.0,
arctic_b0269,0.0,
arctic_b0284,0.0,
arctic_b0295,0.125,
arctic_b0306,0.0,
arctic_b0322,0.0,
arctic_b0328,0.0,
arctic_b0341,0.0,
arctic_b0352,0.0,
arctic_b0357,0.0,
arctic_b0363,0.0,
arctic_b0367,0.0,
arctic_b0372,0.0,
arctic_b0375,0.0,
arctic_b0376,0.0,
arctic_b0390,0.0,
arctic_b0391,0.1666666666666666,
arctic_b0425,0.2857142857142857,
arctic_b0433,0.0,
arctic_b0435,0.0,
arctic_b0437,0.0,
arctic_b0446,0.2,
arctic_b0451,0.0,
arctic_b0470,0.0,
arctic_b0476,0.0,
arctic_b0481,0.0,
arctic_b0487,0.0,
arctic_b0491,0.0,
arctic_b0499,0.0909090909090909,
arctic_b0504,0.0,
arctic_b0507,0.0,
arctic_b0518,0.0,
arctic_b0519,0.0,
arctic_b0527,0.0,
arctic_b0533,0.0909090909090909,
arctic_b0534,0.1,
